,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,filename,number_of_faces,genders,anmerkungen,path_0,path_1,path_2,path_3,genders_0,genders_1,genders_2,genders_3
10,10,10,10,10,10,10,10,10,10,10,10,1260649378_bd51d168f4_1354_80484199@N00.jpg,4,mfmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1260649378_bd51d168f4_1354_80484199@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1260649378_bd51d168f4_1354_80484199@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1260649378_bd51d168f4_1354_80484199@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1260649378_bd51d168f4_1354_80484199@N00.jpg,mffm,mmmm,mfmm,mfmm
11,11,11,11,11,11,11,11,11,11,11,11,1281981197_5cd38b8750_1238_39437954@N00.jpg,4,ffmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1281981197_5cd38b8750_1238_39437954@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1281981197_5cd38b8750_1238_39437954@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1281981197_5cd38b8750_1238_39437954@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1281981197_5cd38b8750_1238_39437954@N00.jpg,ffmm,ffmm,ffmf,ffmm
12,12,12,12,12,12,12,12,12,12,12,12,1333794238_5bc0400880_1372_9657441@N04.jpg,4,mfmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1333794238_5bc0400880_1372_9657441@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1333794238_5bc0400880_1372_9657441@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1333794238_5bc0400880_1372_9657441@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1333794238_5bc0400880_1372_9657441@N04.jpg,,mfmm,ffmf,ffmf
13,13,13,13,13,13,13,13,13,13,13,13,1337900652_b35f9638f9_1030_8398557@N04.jpg,4,mmff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1337900652_b35f9638f9_1030_8398557@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1337900652_b35f9638f9_1030_8398557@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1337900652_b35f9638f9_1030_8398557@N04.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1337900652_b35f9638f9_1030_8398557@N04.jpg,mfff,,mmff,mfmf
14,14,14,14,14,14,14,14,14,14,14,14,1351728783_45e3cf29b0_1253_11812618@N02.jpg,4,mfmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1351728783_45e3cf29b0_1253_11812618@N02.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1351728783_45e3cf29b0_1253_11812618@N02.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1351728783_45e3cf29b0_1253_11812618@N02.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1351728783_45e3cf29b0_1253_11812618@N02.jpg,mfmm,,mmmm,mmmm
15,15,15,15,15,15,15,15,15,15,15,15,1354814133_abfc67472e_1057_12596411@N00.jpg,6,ffmfmf,Gender 1?,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1354814133_abfc67472e_1057_12596411@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1354814133_abfc67472e_1057_12596411@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1354814133_abfc67472e_1057_12596411@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1354814133_abfc67472e_1057_12596411@N00.jpg,ffmmfm,,ffmfmf,mmmfmm
16,16,16,16,16,16,16,16,16,16,16,16,1362936621_33349db978_1218_87984001@N00.jpg,4,mfff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1362936621_33349db978_1218_87984001@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1362936621_33349db978_1218_87984001@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1362936621_33349db978_1218_87984001@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1362936621_33349db978_1218_87984001@N00.jpg,mfff,mfmm,mmmf,mmmf
17,17,17,17,17,17,17,17,17,17,17,17,1372399808_09ff425a28_1400_29098086@N00.jpg,4,mmmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1372399808_09ff425a28_1400_29098086@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1372399808_09ff425a28_1400_29098086@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1372399808_09ff425a28_1400_29098086@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1372399808_09ff425a28_1400_29098086@N00.jpg,ffff,fmmm,mmmf,mmmm
18,18,18,18,18,18,18,18,18,18,18,18,1382612307_b3bc9c64e7_1312_11096436@N05.jpg,4,ffmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1382612307_b3bc9c64e7_1312_11096436@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1382612307_b3bc9c64e7_1312_11096436@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1382612307_b3bc9c64e7_1312_11096436@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1382612307_b3bc9c64e7_1312_11096436@N05.jpg,,,fffm,ffmm
19,19,19,19,19,19,19,19,19,19,19,19,1455024668_e24b1f947f_1053_32665437@N00.jpg,4,mfmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1455024668_e24b1f947f_1053_32665437@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1455024668_e24b1f947f_1053_32665437@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1455024668_e24b1f947f_1053_32665437@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1455024668_e24b1f947f_1053_32665437@N00.jpg,fmmf,,mfmf,mfmf
20,20,20,20,20,20,20,20,20,20,20,20,1525552042_ae9cfb57b5_2150_8557415@N05.jpg,4,fmmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1525552042_ae9cfb57b5_2150_8557415@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1525552042_ae9cfb57b5_2150_8557415@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1525552042_ae9cfb57b5_2150_8557415@N05.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1525552042_ae9cfb57b5_2150_8557415@N05.jpg,,ffmm,fmmf,fmmf
21,21,21,21,21,21,21,21,21,21,21,21,1587831911_d6efcaea72_2104_64155482@N00.jpg,4,fmff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1587831911_d6efcaea72_2104_64155482@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1587831911_d6efcaea72_2104_64155482@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1587831911_d6efcaea72_2104_64155482@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1587831911_d6efcaea72_2104_64155482@N00.jpg,mmff,fmmm,fmff,fmff
22,22,22,22,22,22,22,22,22,22,22,22,1612096412_a0c25b0fe6_2077_98307374@N00.jpg,5,ffffm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1612096412_a0c25b0fe6_2077_98307374@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1612096412_a0c25b0fe6_2077_98307374@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1612096412_a0c25b0fe6_2077_98307374@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1612096412_a0c25b0fe6_2077_98307374@N00.jpg,,,fmmfm,fmmfm
23,23,23,23,23,23,23,23,23,23,23,23,1619452922_b520656a84_2016_25559937@N00.jpg,4,mfmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1619452922_b520656a84_2016_25559937@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1619452922_b520656a84_2016_25559937@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1619452922_b520656a84_2016_25559937@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1619452922_b520656a84_2016_25559937@N00.jpg,ffmf,mmmm,ffmf,ffmf
24,24,24,24,24,24,24,24,24,24,24,24,1622627485_5c297b94d3_2301_51035655711@N01.jpg,4,fmmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1622627485_5c297b94d3_2301_51035655711@N01.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1622627485_5c297b94d3_2301_51035655711@N01.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1622627485_5c297b94d3_2301_51035655711@N01.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/wrong_number_of_faces/1622627485_5c297b94d3_2301_51035655711@N01.jpg,mmmf,mmff,mfmf,
25,25,25,25,25,25,25,25,25,25,25,25,1682351640_10b9209a29_2217_16104739@N00.jpg,4,mmff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1682351640_10b9209a29_2217_16104739@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1682351640_10b9209a29_2217_16104739@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1682351640_10b9209a29_2217_16104739@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1682351640_10b9209a29_2217_16104739@N00.jpg,mfff,fmfm,mfff,mfff
26,26,26,26,26,26,26,26,26,26,26,26,1702121515_2694c52ce0_2150_29756933@N00.jpg,4,fmff,Gender 2?,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1702121515_2694c52ce0_2150_29756933@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1702121515_2694c52ce0_2150_29756933@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1702121515_2694c52ce0_2150_29756933@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1702121515_2694c52ce0_2150_29756933@N00.jpg,mmmf,mmff,fmff,mmff
27,27,27,27,27,27,27,27,27,27,27,27,1826441917_5d2911c006_2398_10520218@N03.jpg,4,mmff,baby??,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1826441917_5d2911c006_2398_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/1826441917_5d2911c006_2398_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1826441917_5d2911c006_2398_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1826441917_5d2911c006_2398_10520218@N03.jpg,mmfm,,mmfm,mmff
28,28,28,28,28,28,28,28,28,28,28,28,1849979090_ebb967a462_2229_10520218@N03.jpg,4,mmff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/1849979090_ebb967a462_2229_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1849979090_ebb967a462_2229_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1849979090_ebb967a462_2229_10520218@N03.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/1849979090_ebb967a462_2229_10520218@N03.jpg,,mmmf,mmff,mmff
29,29,29,29,29,29,29,29,29,29,29,29,1915513025_1784db81ea_2049_98568706@N00.jpg,4,mmff,baby not counted,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/1915513025_1784db81ea_2049_98568706@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/1915513025_1784db81ea_2049_98568706@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/1915513025_1784db81ea_2049_98568706@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/wrong_number_of_faces/1915513025_1784db81ea_2049_98568706@N00.jpg,mmff,mmfm,fmff,
30,30,30,30,30,30,30,30,30,30,30,30,2004048133_e9dfe2ac4f_2079_20193717@N00.jpg,4,mfmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/2004048133_e9dfe2ac4f_2079_20193717@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/2004048133_e9dfe2ac4f_2079_20193717@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2004048133_e9dfe2ac4f_2079_20193717@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2004048133_e9dfe2ac4f_2079_20193717@N00.jpg,mmfm,,mmmm,mmfm
31,31,31,31,31,31,31,31,31,31,31,31,2005105636_b5ccc6d303_2350_44811059@N00.jpg,4,mfff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/2005105636_b5ccc6d303_2350_44811059@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/2005105636_b5ccc6d303_2350_44811059@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2005105636_b5ccc6d303_2350_44811059@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2005105636_b5ccc6d303_2350_44811059@N00.jpg,mfff,mffm,mfff,mfff
32,32,32,32,32,32,32,32,32,32,32,32,2005192310_d3b2720190_2213_20681590@N06.jpg,4,mfmf,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/2005192310_d3b2720190_2213_20681590@N06.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/2005192310_d3b2720190_2213_20681590@N06.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2005192310_d3b2720190_2213_20681590@N06.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2005192310_d3b2720190_2213_20681590@N06.jpg,fmff,,fmmf,ffmf
33,33,33,33,33,33,33,33,33,33,33,33,2008922024_48cb1401c4_2399_84022533@N00.jpg,5,mffmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/2008922024_48cb1401c4_2399_84022533@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/2008922024_48cb1401c4_2399_84022533@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2008922024_48cb1401c4_2399_84022533@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2008922024_48cb1401c4_2399_84022533@N00.jpg,ffffm,,mfmfm,fffmm
34,34,34,34,34,34,34,34,34,34,34,34,2047949835_5577a8df95_2039_34328731@N00.jpg,5,mmfff,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/correct_number_of_faces/2047949835_5577a8df95_2039_34328731@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/wrong_number_of_faces/2047949835_5577a8df95_2039_34328731@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2047949835_5577a8df95_2039_34328731@N00.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2047949835_5577a8df95_2039_34328731@N00.jpg,fmmff,,fmfff,fmfff
35,35,35,35,35,35,35,35,35,35,35,35,2048557274_ab954f6249_2105_15137189@N07.jpg,4,fmmm,,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_0/wrong_number_of_faces/2048557274_ab954f6249_2105_15137189@N07.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_1/correct_number_of_faces/2048557274_ab954f6249_2105_15137189@N07.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_2/correct_number_of_faces/2048557274_ab954f6249_2105_15137189@N07.jpg,/home/butti/PycharmProjects/cov_project/data/Fam4a_used_out/mode_3/correct_number_of_faces/2048557274_ab954f6249_2105_15137189@N07.jpg,,fmmm,fmmf,fmmf
